post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:Size,attribute_data:Size,attribute_default:Size,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_location,attribute_data:pa_location,attribute_default:pa_location,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size
"Product Advertisement Payment",product-advertisement-payment,,5442,"This is Dokan advertisement payment product, do not delete.",,publish,,0,"2022-04-11 12:07:39",2,open,,,,no,yes,,0,,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,,,https://allbun.ro/product/product-advertisement-payment/,simple,exclude-from-catalog|exclude-from-search,Accesorii,,,,,,,,,,,,,,
"W06 1080P HD Camera Web Pro",w06-1080p-hd-camera-web-pro,,5668,"DIMENSIUNI
Dimensiune: 3,5 x 2,5 x 2,2 in
Greutate: 4,8 oz

CERINTE DE SISTEM
Necesar: Port USB disponibil
Windows 7/8/10/2000/XP/Vista
Mac OS X

INFORMATII MODEL
Numar de marca: W06
Numar de fabricatie: WGBG-006

INFORMATII GARANTIE
GARANTIE limitata de 1 an
Retururi in 30 de zile","Camera web HD 1080P: optimizata pentru conferinte video, fara interferente
Focalizare automata si corectare a luminii: captati imagini clare.
Dual Mics: microfoane duale incorporate pentru sunet stereo clar, zgomot redus
Obturatorul camerei va protejeaza intimitatea, acoperiti camera cand nu o utilizati
Compatibilitate: Conectare USB Windows 7/8,10, 2000, XP, Mac OS X",publish,,0,"2022-04-27 10:27:22",6,open,201,,,no,no,30000,178,88.99,,,,,,,instock,notify,no,10,yes,taxable,,,,,,0,0,,,"https://allbun.ro/wp-content/uploads/2022/04/1_0ed6d95f-f016-4b30-97c3-986a82efe5b3.jpg ! alt :  ! title : 1_0ed6d95f-f016-4b30-97c3-986a82efe5b3.jpg ! desc :  ! caption :  | https://allbun.ro/wp-content/uploads/2022/04/W061.jpg ! alt :  ! title : W061.jpg ! desc :  ! caption :  | https://allbun.ro/wp-content/uploads/2022/04/w062.jpg ! alt :  ! title : w062.jpg ! desc :  ! caption :  | https://allbun.ro/wp-content/uploads/2022/04/4_5dcac05a-4713-4a0d-9801-c19ceaac38ea.jpg ! alt :  ! title : 4_5dcac05a-4713-4a0d-9801-c19ceaac38ea.jpg ! desc :  ! caption :  | https://allbun.ro/wp-content/uploads/2022/04/3_5d1eca1f-e6e8-4b02-9e37-164597a1605f.jpg ! alt :  ! title : 3_5d1eca1f-e6e8-4b02-9e37-164597a1605f.jpg ! desc :  ! caption : ",,https://allbun.ro/product/w06-1080p-hd-camera-web-pro/,simple,,Accesorii,,,,,,,,,,,,,,
"W02 Camera web HD 1080P de baza",w02-camera-web-hd-1080p-de-baza,,5670,"DIMENSIUNI
Dimensiune: 4,5 x 3 x 2,25 in
Greutate: 5,6 oz

CERINTE DE SISTEM
Necesar: Port USB disponibil
Windows 7/8/10/2000/XP/Vista
Mac OS X

INFORMATII MODEL
Numar de marca: W02
Numar de fabricatie: WGSXT-002

INFORMATII GARANTIE
GARANTIE limitata de 1 an
Retururi de 30 de zile","Camera web HD 1080P: rezolutie HD, 30 fps, livrare lina
Unghi larg: ajusteaza automat luminozitatea, imaginile cu unghi larg
Reducere zgomot: sunet clar, microfon cu zgomot redus
Conecteaza si Utilizeaza: nu este nevoie de instalare suplimentara
Compatibilitate: conectare USB Windows 7/8,10, 2000, XP, Mac OS X",publish,,0,"2022-04-27 10:27:22",6,open,650,,,no,no,88,164,81.99,,,,,,,instock,notify,no,10,yes,taxable,,,,,,0,0,,,"https://allbun.ro/wp-content/uploads/2022/04/2_0e71404a-3f29-48a6-b191-bb15a59e7ecf.jpg ! alt :  ! title : 2_0e71404a-3f29-48a6-b191-bb15a59e7ecf.jpg ! desc :  ! caption :  | https://allbun.ro/wp-content/uploads/2022/04/W02_2.jpg ! alt :  ! title : W02_2.jpg ! desc :  ! caption :  | https://allbun.ro/wp-content/uploads/2022/04/W02.jpg ! alt :  ! title : W02.jpg ! desc :  ! caption :  | https://allbun.ro/wp-content/uploads/2022/04/71oIIWvrfHL._AC_SL1500.jpg ! alt :  ! title : 71oIIWvrfHL._AC_SL1500.jpg ! desc :  ! caption :  | https://allbun.ro/wp-content/uploads/2022/04/71YL4NZ4WYL._AC_SL1500.jpg ! alt :  ! title : 71YL4NZ4WYL._AC_SL1500.jpg ! desc :  ! caption : ",,https://allbun.ro/product/w02-camera-web-hd-1080p-de-baza/,simple,,Accesorii,,,,,,,,,,,,,,
"Lumina inelara W15 Streamcam Pro",lumina-inelara-w15-streamcam-pro,,5671,"DIMENSIUNI
inaltime: 5 in
Latime: 4 in
Adancime: 3 in
Greutate: 8,8 oz

CERINTE DE SISTEM
Necesar: Port USB disponibil
Windows XP/ 2000/ 2003/ Vista/ 7/ 8/ 10
Mac / Chrome / Android / Linux

INFORMATII MODEL
Numar de marca: W15
Numar de fabricatie: WGBG-015

INFORMATII GARANTIE
GARANTIE limitata de 1 an
Retururi de 30 de zile","60 fps Imersive X: 1080p full HD imagini clare si fluide in flux
Lumina conteaza: nu te ascunde in intuneric, pastreaza lumina reflectoarelor asupra ta
Lumina tactila LED: iluminare pe camera; tineti apasat pentru a regla luminozitatea
Focalizare automata si corectie a culorii: imagini inteligente adaptate pentru streaming live
3 moduri de culoare: moduri reci, calde, lumina zilei pentru diferite atmosfere
Audio stereo: microfon dual incorporat   reducere a zgomotului pentru un sunet clar de cristal
Capac magnetic inteligent: capac lentila de confidentialitate cu senzor de comutare inteligent de lumina",publish,,0,"2022-04-27 10:27:22",6,open,540,,,no,no,88,212,105.99,,,,,,,instock,notify,no,10,yes,taxable,,,,,,0,0,,,"https://allbun.ro/wp-content/uploads/2022/04/main.jpg ! alt :  ! title : main.jpg ! desc :  ! caption :  | https://allbun.ro/wp-content/uploads/2022/04/2_fe5b5dcb-4c89-4855-892e-b498e0f5d43c.jpg ! alt :  ! title : 2_fe5b5dcb-4c89-4855-892e-b498e0f5d43c.jpg ! desc :  ! caption :  | https://allbun.ro/wp-content/uploads/2022/04/3_4aeb1815-0fd6-48f0-aa3f-61eedf6b5e62.jpg ! alt :  ! title : 3_4aeb1815-0fd6-48f0-aa3f-61eedf6b5e62.jpg ! desc :  ! caption :  | https://allbun.ro/wp-content/uploads/2022/04/5_913c5c2a-635a-46a5-ba30-13c0d18c93f3.jpg ! alt :  ! title : 5_913c5c2a-635a-46a5-ba30-13c0d18c93f3.jpg ! desc :  ! caption :  | https://allbun.ro/wp-content/uploads/2022/04/6_d92e1baa-417d-4d7b-818a-81bc92c549ee.jpg ! alt :  ! title : 6_d92e1baa-417d-4d7b-818a-81bc92c549ee.jpg ! desc :  ! caption : ",,https://allbun.ro/product/lumina-inelara-w15-streamcam-pro/,simple,,Accesorii,,,,,,,,,,,,,,
"Casti Bluetooth BH-M9",casti-bluetooth-bh-m9,,5672,"DIMENSIUNI
Dimensiune: 8,5 x 7,2 x 2,17 in
Greutate: 13,7 oz

SPECIFICAtII
Necesar: Port USB disponibil

INFORMATII MODEL
Numar de marca: BH-M9
Numar de fabricatie: /

INFORMATII GARANTIE
GARANTIE limitata de 1 an
Retururi de 30 de zile","Canale Bluetooth duale: conecteaza 2 dispozitive Bluetooth in acelasi timp
Reducerea zgomotului: minimizati interferentele de zgomot si asigurati o calitate audio clara
Reincarcabil: vine cu o baza de incarcare dedicata, peste 200 de ore in standby
Banda pentru cap reglabila: banda pentru cap extensibila pentru a se potrivi in siguranta si a ramane intacta
Compatibilitate Bluetooth: orice dispozitiv compatibil Bluetooth",publish,,0,"2022-04-27 10:27:22",6,open,205,,,no,no,1800,168,78.99,,,,,,,instock,notify,no,10,yes,taxable,,,,,,0,0,,,"https://allbun.ro/wp-content/uploads/2022/04/1_fe758040-8093-4958-ac35-d7d0d6cd86a2.jpg ! alt :  ! title : 1_fe758040-8093-4958-ac35-d7d0d6cd86a2.jpg ! desc :  ! caption :  | https://allbun.ro/wp-content/uploads/2022/04/2_b98e141c-0471-4639-9757-f5802906ab46.jpg ! alt :  ! title : 2_b98e141c-0471-4639-9757-f5802906ab46.jpg ! desc :  ! caption :  | https://allbun.ro/wp-content/uploads/2022/04/03_2a4c4809-3ae4-4f46-8003-04d6f08734fd.jpg ! alt :  ! title : 03_2a4c4809-3ae4-4f46-8003-04d6f08734fd.jpg ! desc :  ! caption :  | https://allbun.ro/wp-content/uploads/2022/04/04_acd4e37e-62d1-4da6-ba52-7a069067d697.jpg ! alt :  ! title : 04_acd4e37e-62d1-4da6-ba52-7a069067d697.jpg ! desc :  ! caption :  | https://allbun.ro/wp-content/uploads/2022/04/05_ed72b58b-6873-4de6-a809-645e54c714a5.jpg ! alt :  ! title : 05_ed72b58b-6873-4de6-a809-645e54c714a5.jpg ! desc :  ! caption :  | https://allbun.ro/wp-content/uploads/2022/04/06_3e943611-9916-4303-a7d9-2fb4c087355d.jpg ! alt :  ! title : 06_3e943611-9916-4303-a7d9-2fb4c087355d.jpg ! desc :  ! caption :  | https://allbun.ro/wp-content/uploads/2022/04/08.jpg ! alt :  ! title : 08.jpg ! desc :  ! caption : ",,https://allbun.ro/product/casti-bluetooth-bh-m9/,simple,,Accesorii,,,,,,,,,,,,,,
"Tastatura fara fir 2.4G cu set de mouse, mouse combinat USB cu tastatura ultrasubtire de dimensiune completa, reincarcabil pentru Windows PC, laptop, aspect german QWERTZ, gri",tastatura-fara-fir-2-4g-cu-set-de-mouse-mouse-combinat-usb-cu-tastatura-ultrasubtire-de-dimensiune-completa-reincarcabil-pentru-windows-pc-laptop-aspect-german-qwertz-gri,,5673,"Detalii produs
Dimensiuni pachet : ? 44,2 x 13,4 x 5,4 cm; 820 de grame

Tehnologia wireless 2.4G - Tehnologia 2.4G asigura o conexiune mai stabila si mai usor de utilizat decat Bluetooth. Datorita unui receptor USB, tastatura si mouse-ul wireless sunt conectate la computer, fara driver si fara instalare, raza de actiune de pana la 10 m. (Receptorul USB este plasat in spatele mouse-ului)
Design full-size ultrasubtire pentru mai multe locatii - dimensiunile tastaturii: 428 x 125 x 12 mm. Cu designul subtire si de inalta calitate cu tastatura numerica, combinatia de tastatura si mouse fara fir este potrivita pentru utilizari multiple. Ideal pentru luminozitatea casei sau la birou
Mouse cu tastatura reincarcabila si DPI reglabil ?C tastatura wireless este incorporata cu o baterie de 300 mA, permite un timp de lucru continuu de pana la 35 de ore dupa incarcarea completa. Mouse-ul wireless de 2,4 GHz are 3 niveluri DPI: 800/1200/1600. Puteti ajusta prescriptia mouse-ului si puteti controla mai bine computerul.
Compatibilitate si functionare - setul de mouse cu tastatura este pe deplin compatibil cu Windows XP/Vista/Win 7/Win 8 si Win 10, tastatura si mouse-ul wireless sunt alimentate de la baterie incorporata. Capacitate tastatura / mouse: 300 mA / 500 mA.
Continutul cutiei: 1 x tastatura fara fir, 1 x mouse fara fir, 1 x receptor USB (in spatele mouse-ului), 1 x cablu de incarcare, 1 x manual de instructiuni (limba engleza nu este garantata).",,publish,,0,"2022-04-27 10:27:23",6,open,206,,,no,no,1500,158,75.99,,,,,,visible,instock,notify,no,10,yes,taxable,,,,,,0,0,,,"https://allbun.ro/wp-content/uploads/2022/04/71y5H1R0iEL._AC_SL1500_.jpg ! alt :  ! title : 71y5H1R0iEL._AC_SL1500_.jpg ! desc :  ! caption :  | https://allbun.ro/wp-content/uploads/2022/04/71sFeZ078gL._AC_SL1500_.jpg ! alt :  ! title : 71sFeZ078gL._AC_SL1500_.jpg ! desc :  ! caption :  | https://allbun.ro/wp-content/uploads/2022/04/71wzmrVcUL._AC_SL1500_.jpg ! alt :  ! title : 71wzmrVcUL._AC_SL1500_.jpg ! desc :  ! caption :  | https://allbun.ro/wp-content/uploads/2022/04/61OmmaQkPCL._AC_SL1500_.jpg ! alt :  ! title : 61OmmaQkPCL._AC_SL1500_.jpg ! desc :  ! caption :  | https://allbun.ro/wp-content/uploads/2022/04/71oLYpRcgTL._AC_SL1500_.jpg ! alt :  ! title : 71oLYpRcgTL._AC_SL1500_.jpg ! desc :  ! caption :  | https://allbun.ro/wp-content/uploads/2022/04/713AAhOp0TL._AC_SL1500_.jpg ! alt :  ! title : 713AAhOp0TL._AC_SL1500_.jpg ! desc :  ! caption : ",,https://allbun.ro/product/tastatura-fara-fir-2-4g-cu-set-de-mouse-mouse-combinat-usb-cu-tastatura-ultrasubtire-de-dimensiune-completa-reincarcabil-pentru-windows-pc-laptop-aspect-german-qwertz-gri/,simple,,Accesorii,,,,,,,,,,,,,,
"Camera web USB pentru computer cu set de trepied Camera web 1080P cu focalizare automata, capac si microfon stereo pentru Skype, Zoom, Facebook etc. pentru apeluri video, conferinte, inregistrare, streaming, negru",camera-web-usb-pentru-computer-cu-set-de-trepied-camera-web-1080p-cu-focalizare-automata-capac-si-microfon-stereo-pentru-skype-zoom-facebook-etc-pentru-apeluri-video-conferinte-inregistrare-str,,5674,"Conectare: cablu USB (1,7 m)
Sisteme compatibile: Windows XP/Vista/7/8/10; Linux 2.6.24 si o versiune ulterioara; Ubuntu; Mac OS 10.6 si o versiune ulterioara; Android 7.1 si versiuni ulterioare
Dispozitive compatibile PC, computer, laptop, notebook
Rezolutie maxima 1920 x 1080 (1080p Full HD)
Focalizarea imaginii ?? 5 cm (5 cm la infinit)
Senzor de imagine CMOS
Continutul cutiei: 1 x camera web cu cablu, 1 x trepied, 1 x manual de utilizare
Pasi de conectare: Pur si simplu conectati cablul USB in portul USB al dispozitivului dvs. si deschideti orice aplicatie pentru camera, selectati Camera FHD ca optiune. Nume comune de precautie
Daca camera nu este detectata
1. Verificati daca camera FHD Camera se afla sub optiunea USB sau optiunea camerei, daca da, faceti clic pe Activate.

2. Reporniti dispozitivul si conectati cablul USB inapoi la portul USB.

3. Mai intai, inchideti toate aplicatiile pe care camera le-ar putea folosi, apoi deschideti orice aplicatie pentru camera.

4. Cel mai bine este sa actualizati sistemul dispozitivului dvs. la cea mai recenta versiune.

Setati microfonul
1. Pentru Windows: Faceti clic pe Start Menu - Deschide Control Control Control - Hardware and Sound - Sound - Manage Audio Devices - Recording - Click FHD Camera Microphone - apoi faceti clic pe ca implicit si faceti clic pe OK pentru a salva setarea.

2. Pentru Mac: Faceti clic pe meniul Apple - setari sistem - sunet - intrare/iesire - selectati Camera FHD","CALITATE VIDEO EXCELENTA ?C Lentila din sticla optica de inalta calitate, senzor CMOS de inalta rezolutie la 30 de cadre pe secunda, oferind videoclipuri HD 1080p si imagini de inalta rezolutie, streaming live mai fluid pe retelele sociale si jocuri precum Skype, Twitch, YouTube si Facebook.
Echipat cu un trepied: aceasta camera de streaming este echipata cu un trepied si are multiple optiuni de montare, precum pe gazon, pe plaja sau pe alte suprafete. Cu o rotire de 360?? a camerei si ajustarea diferita a unghiului trepiedului, este convenabil sa se realizeze cea mai larga inregistrare video.
Blocare confidentialitate: pur si simplu glisati capacul camerei web atasat si puteti controla ceea ce doriti sa afisati. Protejati-va confidentialitatea si bucurati-va de o viata sigura pe internet.
Focalizare automata si microfoane stereo: Cu focalizarea automata HD si ajustarea automata a luminozitatii, camera web va ofera imagini mai usoare si clare. De asemenea, tehnologia de reducere a zgomotului si de anulare a ecoului capteaza mai bine vocea ta naturala. Ideal pentru apeluri video, conferinte, streaming, webinarii si predare online etc.
Mai multa compatibilitate: camera web USB este compatibila in mare masura cu PC-uri, notebook-uri, laptopuri si computere desktop pe Windows XP/ 2000/ 2003/ Vista/ 7/ 8/ 10/ Mac OS/ Android/ Linux etc., care ofera mai mult de 200 MB de hard disk gratuit spatiu de conducere.",publish,,0,"2022-04-27 10:27:23",6,open,207,,,no,no,6000,178,88.99,,,,,,,instock,notify,no,10,yes,taxable,,,,,,0,0,,,"https://allbun.ro/wp-content/uploads/2022/04/71KdnqndvOS._AC_SL1500_.jpg ! alt :  ! title : 71KdnqndvOS._AC_SL1500_.jpg ! desc :  ! caption : ",,https://allbun.ro/product/camera-web-usb-pentru-computer-cu-set-de-trepied-camera-web-1080p-cu-focalizare-automata-capac-si-microfon-stereo-pentru-skype-zoom-facebook-etc-pentru-apeluri-video-conferinte-inregistrare-str/,simple,,Accesorii,,,,,,,,,,,,,,
"Camera web pentru computer USB 1080P cu ecran de confidentialitate cu focalizare automata si microfon dublu pentru apeluri video Skype inregistrare conferinte Streaming Alb",camera-web-pentru-computer-usb-1080p-cu-ecran-de-confidentialitate-cu-focalizare-automata-si-microfon-dublu-pentru-apeluri-video-skype-inregistrare-conferinte-streaming-alb,,5675,"Specificatii:
Conectare: cablu USB (1,7 m)
Sisteme compatibile: Windows XP/Vista/7/8/10; Linux 2.6.24 si o versiune ulterioara; Ubuntu; Mac OS 10.6 si o versiune ulterioara; Android 7.1 si versiuni ulterioare
Dispozitive compatibile PC, computer, laptop, notebook
Rezolutie maxima 1920 x 1080 (1080p Full HD)
Focalizarea imaginii ?? 5 cm (5 cm la infinit)
Senzor de imagine CMOS
Continutul cutiei: 1 x camera web cu cablu, 1 x manual de utilizare
Pasi de conectare: pur si simplu conectati cablul USB in portul USB al dispozitivului dvs. si deschideti orice aplicatie pentru camera, selectati Camera FHD ca optiune.
Diverse utilizari
Nume comune de precautie
Daca camera nu este detectata
1. Verificati daca camera FHD Camera se afla sub optiunea USB sau optiunea camerei, daca da, faceti clic pe Activate.

2. Reporniti dispozitivul si conectati cablul USB inapoi la portul USB.

3. Mai intai, inchideti toate aplicatiile pe care camera le-ar putea folosi, apoi deschideti orice aplicatie pentru camera.

4. Cel mai bine este sa actualizati sistemul dispozitivului dvs. la cea mai recenta versiune.

Setati microfonul
1. Pentru Windows: Faceti clic pe Start Menu - Open Control Control Control - Hardware and Sound - Sound - Manage Audio Devices - inregistrare - Faceti clic pe FHD Camera Microphone - apoi faceti clic pe ca implicit si faceti clic pe OK pentru a salva setarea.

2. Pentru Mac: Faceti clic pe meniul Apple - setari sistem - sunet - intrare/iesire - selectati Camera FHD","CALITATE VIDEO EXCELENTA ?C Lentila din sticla optica de inalta calitate, senzor CMOS de inalta rezolutie la 30 de cadre pe secunda, oferind videoclipuri HD 1080p si imagini de inalta rezolutie, streaming live mai fluid pe retelele sociale si jocuri precum Skype, Twitch, YouTube si Facebook.
Blocare confidentialitate: pur si simplu glisati capacul camerei web atasat si puteti controla ceea ce doriti sa afisati. Protejati-va confidentialitatea si bucurati-va de o viata sigura pe internet.
Focalizare automata: focalizare automata HD si corectie automata a luminii pentru imagini clare in orice scena, chiar si in conditii de lumina slaba. Asigurati-va ca aratati cel mai bine atunci cand efectuati apeluri video si transmiteti in flux live.
Audio stereo cu microfoane duble: microfoane de inalta performanta, reducerea zgomotului, anularea ecoului, capteaza clar vocea ta naturala. Perfect pentru apeluri video, conferinte, streaming, webinarii si lectii online etc.
Compatibilitate: Webcam USB este compatibil pe scara larga cu PC-uri, notebook-uri, laptopuri si computere desktop pe Windows XP/ 2000/ 2003/ Vista/ 7/ 8/ 10/ Mac OS/ Android/ Linux etc.",publish,,0,"2022-04-27 10:27:23",6,open,208,,,no,no,7500,178,88.99,,,,,,,instock,notify,no,10,yes,taxable,,,,,,0,0,,,"https://allbun.ro/wp-content/uploads/2022/04/61lhxrzWQiS._AC_SL1500_.jpg ! alt :  ! title : 61lhxrzWQiS._AC_SL1500_.jpg ! desc :  ! caption : ",,https://allbun.ro/product/camera-web-pentru-computer-usb-1080p-cu-ecran-de-confidentialitate-cu-focalizare-automata-si-microfon-dublu-pentru-apeluri-video-skype-inregistrare-conferinte-streaming-alb/,simple,,Accesorii,,,,,,,,,,,,,,
"Camera web USB 1080P pentru computer cu focalizare automata, ecran de confidentialitate si microfon dublu pentru Skype, apeluri video, conferinte, inregistrare, streaming, alb si auriu roz",camera-web-usb-1080p-pentru-computer-cu-focalizare-automata-ecran-de-confidentialitate-si-microfon-dublu-pentru-skype-apeluri-video-conferinte-inregistrare-streaming-alb-si-auriu-roz,,5676,"Specificatii:
Conectare: cablu USB (1,7 m)
Sisteme compatibile: Windows XP/Vista/7/8/10; Linux 2.6.24 si o versiune ulterioara; Ubuntu; Mac OS 10.6 si o versiune ulterioara; Android 7.1 si versiuni ulterioare
Dispozitive compatibile PC, computer, laptop, notebook
Rezolutie maxima 1920 x 1080 (1080p Full HD)
Focalizarea imaginii ?? 5 cm (5 cm la infinit)
Senzor de imagine CMOS
Continutul cutiei: 1 x camera web cu cablu, 1 x manual de utilizare
Pasi de conectare: Pur si simplu conectati cablul USB in portul USB al dispozitivului dvs. si deschideti orice aplicatie pentru camera, selectati Camera FHD ca optiune.
Diverse utilizari
Nume comune de precautie
Daca camera nu este detectata
1. Verificati daca camera FHD Camera se afla sub optiunea USB sau optiunea camerei, daca da, faceti clic pe Activate.

2. Reporniti dispozitivul si conectati cablul USB inapoi la portul USB.

3. Mai intai, inchideti toate aplicatiile pe care camera le-ar putea folosi, apoi deschideti orice aplicatie pentru camera.

4. Cel mai bine este sa actualizati sistemul dispozitivului dvs. la cea mai recenta versiune.

Setati microfonul
1. Pentru Windows: Faceti clic pe Start Menu - Deschide Control Control Control - Hardware and Sound - Sound - Manage Audio Devices - Recording - Click FHD Camera Microphone - apoi faceti clic pe ca implicit si faceti clic pe OK pentru a salva setarea.

2. Pentru Mac: Faceti clic pe meniul Apple - setari sistem - sunet - intrare/iesire - selectati Camera FHD","CALITATE VIDEO EXCELENTA ?C Lentila din sticla optica de inalta calitate, senzor CMOS de inalta rezolutie la 30 de cadre pe secunda, oferind videoclipuri HD 1080p si imagini de inalta rezolutie, streaming live mai fluid pe retelele sociale si jocuri precum Skype, Twitch, YouTube si Facebook.
Blocare confidentialitate: pur si simplu glisati capacul camerei web atasat si puteti controla ceea ce doriti sa afisati. Protejati-va confidentialitatea si bucurati-va de o viata sigura pe internet.
Focalizare automata: focalizare automata HD si corectie automata a luminii pentru imagini clare in orice scena, chiar si in conditii de lumina slaba. Asigurati-va ca aratati cel mai bine atunci cand efectuati apeluri video si transmiteti in flux live.
Audio stereo cu microfoane duble: microfoane de inalta performanta, reducerea zgomotului, anularea ecoului, capteaza clar vocea ta naturala. Perfect pentru apeluri video, conferinte, streaming, webinarii si lectii online etc.
Compatibilitate: Webcam USB este compatibil pe scara larga cu PC-uri, notebook-uri, laptopuri si computere desktop pe Windows XP/ 2000/ 2003/ Vista/ 7/ 8/ 10/ Mac OS/ Android/ Linux etc.",publish,,0,"2022-04-27 10:27:23",6,open,209,,,no,no,7500,178,88.99,,,,,,,instock,notify,no,7500,yes,taxable,,,,,,0,0,,,"https://allbun.ro/wp-content/uploads/2022/04/61FkYlybCSS._AC_SL1500_.jpg ! alt :  ! title : 61FkYlybCSS._AC_SL1500_.jpg ! desc :  ! caption : ",,https://allbun.ro/product/camera-web-usb-1080p-pentru-computer-cu-focalizare-automata-ecran-de-confidentialitate-si-microfon-dublu-pentru-skype-apeluri-video-conferinte-inregistrare-streaming-alb-si-auriu-roz/,simple,,Accesorii,,,,,,,,,,,,,,
"Camera web USB pentru computer cu set de trepied Camera web 1080P cu focalizare automata, capac si microfon stereo pentru Skype, Zoom, Facebook etc., pentru apeluri video, conferinte, inregistrare, streaming, alb si argintiu",camera-web-usb-pentru-computer-cu-set-de-trepied-camera-web-1080p-cu-focalizare-automata-capac-si-microfon-stereo-pentru-skype-zoom-facebook-etc-pentru-apeluri-video-conferinte-inregistrare-st,,5677,"INFORMATII despre produs
Detalii tehnice
Dimensiunea pachetului articolului 15,6 x 12,7 x 6,9 centimetri
Greutate pachet 0,34 kilograme","CALITATE VIDEO EXCELENTA ?C Lentila din sticla optica de inalta calitate, senzor CMOS de inalta rezolutie la 30 de cadre pe secunda, oferind videoclipuri HD 1080p si imagini de inalta rezolutie, streaming live mai fluid pe retelele sociale si jocuri precum Skype, Twitch, YouTube si Facebook.
Echipat cu un trepied: aceasta camera de streaming este echipata cu un trepied si are multiple optiuni de montare, precum pe gazon, pe plaja sau pe alte suprafete. Cu o rotire de 360?? a camerei si ajustarea diferita a unghiului trepiedului, este convenabil sa se realizeze cea mai larga inregistrare video.
Blocare confidentialitate: pur si simplu glisati capacul camerei web atasat si puteti controla ceea ce doriti sa afisati. Protejati-va confidentialitatea si bucurati-va de o viata sigura pe internet.
Focalizare automata si microfoane stereo: Cu focalizarea automata HD si ajustarea automata a luminozitatii, camera web va ofera imagini mai usoare si clare. De asemenea, tehnologia de reducere a zgomotului si de anulare a ecoului capteaza mai bine vocea ta naturala. Ideal pentru apeluri video, conferinte, streaming, webinarii si predare online etc.
Mai multa compatibilitate: camera web USB este compatibila pe scara larga cu PC-uri, notebook-uri, laptopuri si computere desktop pe Windows XP/ 2000/ 2003/ Vista/ 7/ 8/ 10/ Mac OS/ Android/ Linux etc.",publish,,0,"2022-04-27 10:27:23",6,open,210,,,no,no,1500,178,88.99,,,,,,,instock,notify,no,10,yes,taxable,,,,,,0,0,,,"https://allbun.ro/wp-content/uploads/2022/04/61ISFllkFWS._AC_SL1500_.jpg ! alt :  ! title : 61ISFllkFWS._AC_SL1500_.jpg ! desc :  ! caption : ",,https://allbun.ro/product/camera-web-usb-pentru-computer-cu-set-de-trepied-camera-web-1080p-cu-focalizare-automata-capac-si-microfon-stereo-pentru-skype-zoom-facebook-etc-pentru-apeluri-video-conferinte-inregistrare-st/,simple,,Accesorii,,,,,,,,,,,,,,
